"x","y","frame","time_seconds"
233.266509433962,375.841981132075,1,0.2
249.771084337349,366.742168674699,2,0.4
264.794344473008,354.87146529563,3,0.6
274.859154929577,338.906103286385,4,0.8
283.793103448276,320.981609195402,5,1
294.799007444169,303.397022332506,6,1.2
309.836185819071,290.026894865526,7,1.4
329.039506172839,280.81975308642,8,1.6
349.733990147783,277.251231527094,9,1.8
371.303398058252,275.084951456311,10,2
394.380352644836,275.171284634761,11,2.2
417.004926108374,275.307881773399,12,2.4
440.738498789346,273.694915254237,13,2.6
464.292682926829,268.834146341463,14,2.8
487.512941176471,261.430588235294,15,3
511.693925233645,253.943925233645,16,3.2
536.29185520362,246.981900452489,17,3.4
560.703539823009,240.185840707965,18,3.6
583.990970654628,232.984198645598,19,3.8
604.112128146453,223.796338672769,20,4
611.796610169491,219.216101694915,21,4.2
612.677725118483,217.39336492891,22,4.4
607.016597510373,212.265560165975,23,4.6
600.980079681275,215.727091633466,24,4.8
590.433264887064,209.357289527721,25,5
574.717391304348,206.647826086957,26,5.2
559.038961038961,209.400432900433,27,5.4
541.633928571429,212.109375,28,5.6
522.145785876993,211.059225512528,29,5.8
504,206.286374133949,30,6
486.821759259259,197.893518518519,31,6.2
468.970183486239,188.142201834862,32,6.4
449.449648711944,178.807962529274,33,6.6
429.255079006772,173.223476297968,34,6.8
408.090476190476,173.697619047619,35,7
388.697619047619,180.271428571429,36,7.2
370.932530120482,189.713253012048,37,7.4
352.67396593674,198.406326034063,38,7.6
333.427184466019,206.016990291262,39,7.8
314.684729064039,214.455665024631,40,8
299.049261083744,227.014778325123,41,8.2
287.126491646778,243.262529832936,42,8.4
278.131455399061,260.798122065728,43,8.6
270.369304556355,279.762589928058,44,8.8
263.002352941176,299.195294117647,45,9
255.992574257426,319.814356435644,46,9.2
253.154377880184,339.15668202765,47,9.4
255.557971014493,360.714975845411,48,9.6
261.856132075472,379.51179245283,49,9.8
269.903529411765,397.663529411765,50,10
279.737089201878,417.542253521127,51,10.2
290.06146572104,436.86524822695,52,10.4
303.56416464891,454.142857142857,53,10.6
319.992771084337,467.665060240964,54,10.8
338.341346153846,474.074519230769,55,11
356.508353221957,473.217183770883,56,11.2
373.871733966746,467.529691211401,57,11.4
390.964622641509,460.181603773585,58,11.6
409.145679012346,451.767901234568,59,11.8
426,441.615196078431,60,12
440.917073170732,427.863414634146,61,12.2
453.320707070707,411.613636363636,62,12.4
464.276543209877,394.488888888889,63,12.6
476.007594936709,376.908860759494,64,12.8
488.71568627451,359.879901960784,65,13
496.768115942029,350.963768115942,66,13.2
501.204597701149,345.701149425287,67,13.4
502.153318077803,342.105263157895,68,13.6
503.041095890411,341.417808219178,69,13.8
503.354838709677,339.090322580645,70,14
502.341801385681,340.043879907621,71,14.2
502.095238095238,338.991341991342,72,14.4
501.825708061002,338.967320261438,73,14.6
501.331125827815,339.114790286976,74,14.8
500.685714285714,339.23956043956,75,15
500.053078556263,338.874734607219,76,15.2
499.098947368421,338.273684210526,77,15.4
498.864806866953,338.684549356223,78,15.6
498.621444201313,338.676148796499,79,15.8
498.506578947368,338.833333333333,80,16
499.191343963554,339.537585421412,81,16.2
499.727678571429,339.450892857143,82,16.4
500.943844492441,338.725701943845,83,16.6
502.413173652695,336.842315369261,84,16.8
503.631984585742,332.998073217726,85,17
505.774703557312,328.739130434783,86,17.2
509.619417475728,325.433009708738,87,17.4
511.731075697211,323.223107569721,88,17.6
512.671875,320.89453125,89,17.8
513.585657370518,318.741035856574,90,18
513.883910386965,318.564154786151,91,18.2
513.863731656185,318.561844863732,92,18.4
513.865957446808,318.787234042553,93,18.6
513.671739130435,319.089130434783,94,18.8
513.709327548807,319.093275488069,95,19
513.711496746204,319.251626898048,96,19.2
513.677631578947,319.247807017544,97,19.4
513.864035087719,319.22149122807,98,19.6
513.836283185841,319.404867256637,99,19.8
513.703539823009,319.484513274336,100,20
513.789934354486,319.503282275711,101,20.2
513.922413793103,319.224137931034,102,20.4
514.055084745763,319.016949152542,103,20.6
513.965957446808,319.110638297872,104,20.8
513.736501079914,319.200863930886,105,21
513.428260869565,319.504347826087,106,21.2
513.566810344828,319.543103448276,107,21.4
514.274590163934,319.418032786885,108,21.6
